,title,brand,price,post link,image link,review,review amount
34,Zapatillas De Lona Jaguar Oficial Art #320 34 Al 45,JAGUAR,7.505,https://articulo.mercadolibre.com.ar/MLA-933109724-zapatillas-de-lona-jaguar-oficial-art-320-34-al-45-_JM#position=35&search_layout=grid&type=item&tracking_id=7602c3b3-4bd5-4789-84b4-f2db5952ee95,https://http2.mlstatic.com/D_NQ_NP_603284-MLA72265906464_102023-W.jpg,4.5,(1076)
35,Zapatillas Hombre Deportiva Moda Comodas Basto Art 11,,16.490,https://articulo.mercadolibre.com.ar/MLA-1116139264-zapatillas-hombre-deportiva-moda-comodas-basto-art-11-_JM#position=36&search_layout=grid&type=item&tracking_id=7602c3b3-4bd5-4789-84b4-f2db5952ee95,https://http2.mlstatic.com/D_NQ_NP_874230-MLA69147808867_042023-W.jpg,4.2,(521)
36,Zapatillas Jaguar Oficial Art. #8074 34 Al 44 Hombre Y Mujer,JAGUAR,11.050,https://articulo.mercadolibre.com.ar/MLA-1215182564-zapatillas-jaguar-oficial-art-8074-34-al-44-hombre-y-mujer-_JM#position=37&search_layout=grid&type=item&tracking_id=7602c3b3-4bd5-4789-84b4-f2db5952ee95,https://http2.mlstatic.com/D_NQ_NP_674809-MLA72329533549_102023-W.jpg,4.5,(51)
37,Zapatilla Nautica Faraon Neoprene Agua Playa Yoga Pileta Rio,FARAON,5.490,https://articulo.mercadolibre.com.ar/MLA-1126764596-zapatilla-nautica-faraon-neoprene-agua-playa-yoga-pileta-rio-_JM#position=38&search_layout=grid&type=item&tracking_id=7602c3b3-4bd5-4789-84b4-f2db5952ee95,https://http2.mlstatic.com/D_NQ_NP_830305-MLA53458834938_012023-W.jpg,4.7,(880)
38,Zapatilla De Hombre 41cma0014 Lacoste,LACOSTE,90.000,https://articulo.mercadolibre.com.ar/MLA-1395702295-zapatilla-de-hombre-41cma0014-lacoste-_JM#position=39&search_layout=grid&type=item&tracking_id=7602c3b3-4bd5-4789-84b4-f2db5952ee95,https://http2.mlstatic.com/D_NQ_NP_991881-MLA72854712463_112023-W.jpg,4.0,(6)
39,Zapatillas Jaguar Oficial Art. #8074 34 Al 44 Hombre Y Mujer,JAGUAR,11.050,https://articulo.mercadolibre.com.ar/MLA-1451196094-zapatillas-jaguar-oficial-art-8074-34-al-44-hombre-y-mujer-_JM#position=40&search_layout=grid&type=item&tracking_id=7602c3b3-4bd5-4789-84b4-f2db5952ee95,https://http2.mlstatic.com/D_NQ_NP_904176-MLA72265591780_102023-W.jpg,4.7,(184)
40,Zapatillas Botas Skate,OZONO,22.050,https://articulo.mercadolibre.com.ar/MLA-1102366584-zapatillas-botas-skate-_JM#position=41&search_layout=grid&type=item&tracking_id=7602c3b3-4bd5-4789-84b4-f2db5952ee95,https://http2.mlstatic.com/D_NQ_NP_675480-MLA54201082087_032023-W.jpg,4.4,(988)
41,Zapatillas Jaguar Oficial Deportiva Art. #9331 35al40,JAGUAR,26.330,https://articulo.mercadolibre.com.ar/MLA-1523091132-zapatillas-jaguar-oficial-deportiva-art-9331-35al40-_JM#position=42&search_layout=grid&type=item&tracking_id=7602c3b3-4bd5-4789-84b4-f2db5952ee95,https://http2.mlstatic.com/D_NQ_NP_737997-MLA72265967556_102023-W.jpg,4.8,(406)
42,Zapatillas Jaguar Unisex Urbanas Lona Bajas Cordon 8074,JAGUAR,10.767,https://articulo.mercadolibre.com.ar/MLA-1372596171-zapatillas-jaguar-unisex-urbanas-lona-bajas-cordon-8074-_JM#position=43&search_layout=grid&type=item&tracking_id=7602c3b3-4bd5-4789-84b4-f2db5952ee95,https://http2.mlstatic.com/D_NQ_NP_912600-MLA54591184482_032023-W.jpg,4.8,(158)
43,Zapatillas Urbanas Casuales Narrow Cuero Hombre Art.1001,NARROW,37.374,https://articulo.mercadolibre.com.ar/MLA-1147144811-zapatillas-urbanas-casuales-narrow-cuero-hombre-art1001-_JM#position=44&search_layout=grid&type=item&tracking_id=7602c3b3-4bd5-4789-84b4-f2db5952ee95,https://http2.mlstatic.com/D_NQ_NP_787991-MLA70355026721_072023-W.jpg,3.8,(12)
44,Zapatillas Jaguar Oficial Art. #128 27 Al 33 Urbanas Niños ,JAGUAR,5.890,https://articulo.mercadolibre.com.ar/MLA-799661652-zapatillas-jaguar-oficial-art-128-27-al-33-urbanas-ninos-_JM#position=45&search_layout=grid&type=item&tracking_id=7602c3b3-4bd5-4789-84b4-f2db5952ee95,https://http2.mlstatic.com/D_NQ_NP_950973-MLA72329552749_102023-W.jpg,4.7,(887)
45,"Calzado Urbano Con Base Antideslizante, Números 38/46..",SOCHERS,18.690,https://articulo.mercadolibre.com.ar/MLA-873683455-calzado-urbano-con-base-antideslizante-numeros-3846-_JM#position=46&search_layout=grid&type=item&tracking_id=7602c3b3-4bd5-4789-84b4-f2db5952ee95,https://http2.mlstatic.com/D_NQ_NP_927688-MLA54969880650_042023-W.jpg,4.3,(2053)
